Year;Month;Decimal Year;Figure Reference;Sea_Area;Monthly_Average_Sea_Surface_Temperature_degrees_C;Latitude;Longitude
2003;12;2003.92;Figure 4.12;Clyde;10.32;55.335864;-5.113624
2004;1;2004;Figure 4.12;Clyde;8.73;55.335864;-5.113624
2004;2;2004.08;Figure 4.12;Clyde;7.75;55.335864;-5.113624
2004;3;2004.17;Figure 4.12;Clyde;7.6;55.335864;-5.113624
2004;4;2004.25;Figure 4.12;Clyde;8.07;55.335864;-5.113624
2004;5;2004.33;Figure 4.12;Clyde;10.15;55.335864;-5.113624
2004;6;2004.42;Figure 4.12;Clyde;12.3;55.335864;-5.113624
2004;7;2004.5;Figure 4.12;Clyde;13.94;55.335864;-5.113624
2004;8;2004.58;Figure 4.12;Clyde;15.52;55.335864;-5.113624
2004;9;2004.67;Figure 4.12;Clyde;14.84;55.335864;-5.113624
2004;10;2004.75;Figure 4.12;Clyde;13.62;55.335864;-5.113624
2004;11;2004.83;Figure 4.12;Clyde;12.18;55.335864;-5.113624
2004;12;2004.92;Figure 4.12;Clyde;10.25;55.335864;-5.113624
2005;1;2005;Figure 4.12;Clyde;8.26;55.335864;-5.113624
2005;2;2005.08;Figure 4.12;Clyde;7.42;55.335864;-5.113624
2005;3;2005.17;Figure 4.12;Clyde;7.3;55.335864;-5.113624
2005;4;2005.25;Figure 4.12;Clyde;8.31;55.335864;-5.113624
2005;5;2005.33;Figure 4.12;Clyde;9.76;55.335864;-5.113624
2005;6;2005.42;Figure 4.12;Clyde;12.17;55.335864;-5.113624
2005;7;2005.5;Figure 4.12;Clyde;14.28;55.335864;-5.113624
2005;8;2005.58;Figure 4.12;Clyde;14.67;55.335864;-5.113624
2005;9;2005.67;Figure 4.12;Clyde;14.83;55.335864;-5.113624
2005;10;2005.75;Figure 4.12;Clyde;13.85;55.335864;-5.113624
2005;11;2005.83;Figure 4.12;Clyde;12.64;55.335864;-5.113624
2005;12;2005.92;Figure 4.12;Clyde;10.46;55.335864;-5.113624
2006;1;2006;Figure 4.12;Clyde;8.63;55.335864;-5.113624
2006;2;2006.08;Figure 4.12;Clyde;7.76;55.335864;-5.113624
2006;3;2006.17;Figure 4.12;Clyde;7.13;55.335864;-5.113624
2006;4;2006.25;Figure 4.12;Clyde;7.62;55.335864;-5.113624
2006;5;2006.33;Figure 4.12;Clyde;9.56;55.335864;-5.113624
2006;6;2006.42;Figure 4.12;Clyde;12.42;55.335864;-5.113624
2006;7;2006.5;Figure 4.12;Clyde;14.53;55.335864;-5.113624
2006;8;2006.58;Figure 4.12;Clyde;14.52;55.335864;-5.113624
2006;9;2006.67;Figure 4.12;Clyde;15.1;55.335864;-5.113624
2006;10;2006.75;Figure 4.12;Clyde;14.47;55.335864;-5.113624
2006;11;2006.83;Figure 4.12;Clyde;12.88;55.335864;-5.113624
2006;12;2006.92;Figure 4.12;Clyde;10.64;55.335864;-5.113624
2007;1;2007;Figure 4.12;Clyde;8.98;55.335864;-5.113624
2007;2;2007.08;Figure 4.12;Clyde;7.89;55.335864;-5.113624
2007;3;2007.17;Figure 4.12;Clyde;7.87;55.335864;-5.113624
2007;4;2007.25;Figure 4.12;Clyde;9;55.335864;-5.113624
2007;5;2007.33;Figure 4.12;Clyde;10.71;55.335864;-5.113624
2007;6;2007.42;Figure 4.12;Clyde;13.3;55.335864;-5.113624
2007;7;2007.5;Figure 4.12;Clyde;14.24;55.335864;-5.113624
2007;8;2007.58;Figure 4.12;Clyde;14.56;55.335864;-5.113624
2007;9;2007.67;Figure 4.12;Clyde;14.45;55.335864;-5.113624
2007;10;2007.75;Figure 4.12;Clyde;13.82;55.335864;-5.113624
2007;11;2007.83;Figure 4.12;Clyde;12.36;55.335864;-5.113624
2007;12;2007.92;Figure 4.12;Clyde;10.16;55.335864;-5.113624
2008;1;2008;Figure 4.12;Clyde;8.61;55.335864;-5.113624
2008;2;2008.08;Figure 4.12;Clyde;7.52;55.335864;-5.113624
2008;3;2008.17;Figure 4.12;Clyde;7.23;55.335864;-5.113624
2008;4;2008.25;Figure 4.12;Clyde;7.93;55.335864;-5.113624
2008;5;2008.33;Figure 4.12;Clyde;10.49;55.335864;-5.113624
2008;6;2008.42;Figure 4.12;Clyde;12.19;55.335864;-5.113624
2008;7;2008.5;Figure 4.12;Clyde;13.39;55.335864;-5.113624
2008;8;2008.58;Figure 4.12;Clyde;14.85;55.335864;-5.113624
2008;9;2008.67;Figure 4.12;Clyde;14.67;55.335864;-5.113624
2008;10;2008.75;Figure 4.12;Clyde;13.42;55.335864;-5.113624
2008;11;2008.83;Figure 4.12;Clyde;11.35;55.335864;-5.113624
2008;12;2008.92;Figure 4.12;Clyde;9.21;55.335864;-5.113624
2009;1;2009;Figure 4.12;Clyde;7.79;55.335864;-5.113624
2009;2;2009.08;Figure 4.12;Clyde;6.79;55.335864;-5.113624
2009;3;2009.17;Figure 4.12;Clyde;6.95;55.335864;-5.113624
2009;4;2009.25;Figure 4.12;Clyde;8.24;55.335864;-5.113624
2009;5;2009.33;Figure 4.12;Clyde;9.93;55.335864;-5.113624
2009;6;2009.42;Figure 4.12;Clyde;12.53;55.335864;-5.113624
2009;7;2009.5;Figure 4.12;Clyde;14.23;55.335864;-5.113624
2009;8;2009.58;Figure 4.12;Clyde;14.77;55.335864;-5.113624
2009;9;2009.67;Figure 4.12;Clyde;14.78;55.335864;-5.113624
2009;10;2009.75;Figure 4.12;Clyde;14.1;55.335864;-5.113624
2009;11;2009.83;Figure 4.12;Clyde;12.64;55.335864;-5.113624
2009;12;2009.92;Figure 4.12;Clyde;10.31;55.335864;-5.113624
2010;1;2010;Figure 4.12;Clyde;8;55.335864;-5.113624
2010;2;2010.08;Figure 4.12;Clyde;6.56;55.335864;-5.113624
2010;3;2010.17;Figure 4.12;Clyde;6.74;55.335864;-5.113624
2010;4;2010.25;Figure 4.12;Clyde;7.76;55.335864;-5.113624
2010;5;2010.33;Figure 4.12;Clyde;9.48;55.335864;-5.113624
2010;6;2010.42;Figure 4.12;Clyde;12.24;55.335864;-5.113624
2010;7;2010.5;Figure 4.12;Clyde;13.63;55.335864;-5.113624
2010;8;2010.58;Figure 4.12;Clyde;14.62;55.335864;-5.113624
2010;9;2010.67;Figure 4.12;Clyde;14.81;55.335864;-5.113624
2010;10;2010.75;Figure 4.12;Clyde;13.74;55.335864;-5.113624
2010;11;2010.83;Figure 4.12;Clyde;11.71;55.335864;-5.113624
2010;12;2010.92;Figure 4.12;Clyde;9.07;55.335864;-5.113624
2011;1;2011;Figure 4.12;Clyde;7.45;55.335864;-5.113624
2011;2;2011.08;Figure 4.12;Clyde;6.79;55.335864;-5.113624
2011;3;2011.17;Figure 4.12;Clyde;7.13;55.335864;-5.113624
2011;4;2011.25;Figure 4.12;Clyde;8.77;55.335864;-5.113624
2011;5;2011.33;Figure 4.12;Clyde;10.45;55.335864;-5.113624
2011;6;2011.42;Figure 4.12;Clyde;12.09;55.335864;-5.113624
2011;7;2011.5;Figure 4.12;Clyde;14.39;55.335864;-5.113624
2011;8;2011.58;Figure 4.12;Clyde;14.97;55.335864;-5.113624
2011;9;2011.67;Figure 4.12;Clyde;14.58;55.335864;-5.113624
2011;10;2011.75;Figure 4.12;Clyde;13.76;55.335864;-5.113624
2011;11;2011.83;Figure 4.12;Clyde;12.6;55.335864;-5.113624
2011;12;2011.92;Figure 4.12;Clyde;10.14;55.335864;-5.113624
2012;1;2012;Figure 4.12;Clyde;8.03;55.335864;-5.113624
2012;2;2012.08;Figure 4.12;Clyde;6.96;55.335864;-5.113624
2012;3;2012.17;Figure 4.12;Clyde;7.63;55.335864;-5.113624
2012;4;2012.25;Figure 4.12;Clyde;8.59;55.335864;-5.113624
2012;5;2012.33;Figure 4.12;Clyde;9.92;55.335864;-5.113624
2012;6;2012.42;Figure 4.12;Clyde;12.09;55.335864;-5.113624
2012;7;2012.5;Figure 4.12;Clyde;13.53;55.335864;-5.113624
2012;8;2012.58;Figure 4.12;Clyde;14.88;55.335864;-5.113624
2012;9;2012.67;Figure 4.12;Clyde;14.46;55.335864;-5.113624
2012;10;2012.75;Figure 4.12;Clyde;13.22;55.335864;-5.113624
2012;11;2012.83;Figure 4.12;Clyde;11.51;55.335864;-5.113624
2012;12;2012.92;Figure 4.12;Clyde;9.52;55.335864;-5.113624
2013;1;2013;Figure 4.12;Clyde;7.89;55.335864;-5.113624
2013;2;2013.08;Figure 4.12;Clyde;6.62;55.335864;-5.113624
2013;3;2013.17;Figure 4.12;Clyde;6.09;55.335864;-5.113624
2013;4;2013.25;Figure 4.12;Clyde;6.61;55.335864;-5.113624
2013;5;2013.33;Figure 4.12;Clyde;8.55;55.335864;-5.113624
2013;6;2013.42;Figure 4.12;Clyde;11.56;55.335864;-5.113624
2013;7;2013.5;Figure 4.12;Clyde;14.09;55.335864;-5.113624
2013;8;2013.58;Figure 4.12;Clyde;15.11;55.335864;-5.113624
2013;9;2013.67;Figure 4.12;Clyde;14.34;55.335864;-5.113624
2013;10;2013.75;Figure 4.12;Clyde;13.74;55.335864;-5.113624
2013;11;2013.83;Figure 4.12;Clyde;11.9;55.335864;-5.113624
2013;12;2013.92;Figure 4.12;Clyde;10.08;55.335864;-5.113624
1997;1;1997;Figure 4.12;Minches and Malin Sea;8.43;57.03259;-6.552797
1997;2;1997.08;Figure 4.12;Minches and Malin Sea;8.2;57.03259;-6.552797
1997;3;1997.17;Figure 4.12;Minches and Malin Sea;8.22;57.03259;-6.552797
1997;4;1997.25;Figure 4.12;Minches and Malin Sea;9;57.03259;-6.552797
1997;5;1997.33;Figure 4.12;Minches and Malin Sea;10.17;57.03259;-6.552797
1997;6;1997.42;Figure 4.12;Minches and Malin Sea;11.99;57.03259;-6.552797
1997;7;1997.5;Figure 4.12;Minches and Malin Sea;13.44;57.03259;-6.552797
1997;8;1997.58;Figure 4.12;Minches and Malin Sea;15.15;57.03259;-6.552797
